,LUCA,Aves,Passeriformes,Tyrannidae,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3829,1.0,0.0,0.0,0.0,241198,1638.17456543,436.111111111,27.5226851922,22.9833333095,18.4416667046,206.800142182,159.453703704,16451.6064815,2.26277777249,2.17962962472,-96.867563416,19.899389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,5766,BOSQUE DE GALERÍA,9433.0,Agricultura de Temporal,POINT (-96.867563416 19.899389801)
3830,1.0,0.0,0.0,0.0,248814,1515.33186035,87.3333333333,31.0783334096,25.6019444201,20.1258334451,56.8124181959,160.252777778,16036.8583333,2.44963887566,2.13027778566,-96.426563416,18.429389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,85161,AGRICULTURA DE TEMPORAL SEMIPERMANENTE,10015.0,Pastizal Cultivado,POINT (-96.42656341599999 18.429389801)
3831,0.0,0.0,0.0,0.0,235319,10236.5987216,3.6,28.4662499825,24.0787499746,19.6962499261,12.951612556,108.125,17516.4083333,2.54183334311,2.95875000457,-97.3681786061,21.0721467393,14.0,Mangroves,87956,MANGLAR,8342.0,Vegetacion Halofila,POINT (-97.3681786061 21.0721467393)
3832,1.0,0.0,0.0,0.0,247349,2360.95925293,1386.44444444,30.6136573421,22.6067129329,14.5986111451,47.5652563307,69.1759259259,17922.1481481,1.54879630274,1.62569444461,-98.582563416,18.674389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,70456,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.582563416 18.674389801)
3833,1.0,0.0,0.0,0.0,244631,6990.30845703,3220.44444444,15.6134259281,9.64583334548,3.67638888189,24.9701747629,87.0138888889,17262.9166667,0.733379627888,3.04189814462,-97.994563416,19.213389801,3.0,Tropical and Subtropical Coniferous Forests,6864,BOSQUE DE PINO,10123.0,Bosque de Pino,POINT (-97.99456341600001 19.213389801)
3834,1.0,0.0,0.0,0.0,250919,4007.20604004,1347.55555556,30.8004629259,23.5192129612,16.2398148312,26.2111287117,42.8425925926,17406.6111111,1.59108796247,1.73171297406,-97.994563416,18.086389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,107641,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,10536.0,Selva Baja Caducifolia,POINT (-97.99456341600001 18.086389801)
3835,1.0,0.0,0.0,0.0,249084,1451.65071289,1588.55555556,27.9152777592,21.2287036843,14.5375000062,3.8148559067,54.275462963,17500.0787037,1.4394444448,1.75995370828,-98.141563416,18.380389801,3.0,Tropical and Subtropical Coniferous Forests,94612,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,10536.0,Selva Baja Caducifolia,POINT (-98.141563416 18.380389801)
3836,1.0,0.0,0.0,0.0,240176,943.571187337,2376.44444444,23.4333332539,15.1913889196,6.94861112833,3082.00845133,37.2722222222,18442.5944444,1.04652776966,2.32888886531,-98.778563416,20.095389801,13.0,Deserts and Xeric Shrublands,63118,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,9275.0,Zona Urbana,POINT (-98.778563416 20.095389801)
3837,1.0,0.0,0.0,0.0,237936,1207.10470215,1651.66666667,25.3412037381,18.3504630151,11.3655092661,6.33746618695,46.5277777778,18830.8032407,1.3489351841,1.93356480201,-98.876563416,20.536389801,13.0,Deserts and Xeric Shrublands,7107,BOSQUE DE PINO,8814.0,Bosque de Encino,POINT (-98.876563416 20.536389801)
3838,0.0,0.0,0.0,0.0,241914,3753.95271973,3069.11111111,17.490740765,11.1583333258,4.82893517006,5.50830562909,80.9837962963,17735.3263889,0.791203704973,2.82685185251,-98.239563416,19.752389801,3.0,Tropical and Subtropical Coniferous Forests,7010,BOSQUE DE PINO,9416.0,Bosque de Pino,POINT (-98.239563416 19.752389801)
3839,1.0,0.0,0.0,0.0,252136,2352.92629883,143.111111111,30.974074112,25.6766203951,20.3812500194,28.4682583544,224.076388889,16306.4097222,2.4119444495,2.32268516057,-95.985563416,17.890389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,40301,PASTIZAL CULTIVADO,10015.0,Pastizal Cultivado,POINT (-95.98556341600001 17.890389801)
3840,1.0,0.0,0.0,0.0,246110,3028.9723584,2509.44444444,20.6011573429,12.9203703779,5.24074074488,15.3839980761,42.3101851852,17115.8101852,1.03428240507,2.12060183425,-97.553563416,18.919389801,13.0,Deserts and Xeric Shrublands,29572,MATORRAL DESÉRTICO ROSETÓFILO,8684.0,Agricultura de Temporal,POINT (-97.553563416 18.919389801)
3841,1.0,1.0,1.0,1.0,248775,1264.3079541,1202.55555556,31.2973333931,23.8,16.2986666743,5.8976489226,56.62,17809.6033333,1.65106666843,1.61766666333,-98.337563416,18.429389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,107811,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,10536.0,Selva Baja Caducifolia,POINT (-98.33756341599999 18.429389801)
3842,0.0,0.0,0.0,0.0,251216,1176.56854004,1025.88888889,32.7247222265,25.0441667133,17.364722191,21.2749401728,57.6555555556,17656.4,1.78636111153,1.60694443815,-98.288563416,18.037389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,59929,AGRICULTURA DE RIEGO ANUAL,10536.0,Selva Baja Caducifolia,POINT (-98.288563416 18.037389801)
3843,0.0,0.0,0.0,0.0,239480,4581.0444043,4.0,28.9143517768,24.3842591533,19.8432868653,27.6743659178,147.048611111,16742.8935185,2.55090278884,3.00138887322,-96.867563416,20.242389801,14.0,Mangroves,41925,PASTIZAL CULTIVADO,8875.0,Pastizal Cultivado,POINT (-96.867563416 20.242389801)
3844,1.0,0.0,0.0,0.0,249998,3073.51690267,1339.33333333,30.9993055176,23.6344907328,16.2668981398,42.5404572487,50.2847222222,17375.7152778,1.58375000209,1.69606482182,-98.092563416,18.233389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,107810,VEGETACIÓN SECUNDARIA ARBUSTIVA DE SELVA BAJA CADUCIFOLIA,10954.0,Pastizal Cultivado,POINT (-98.092563416 18.233389801)
